epoch,train_loss,val_loss,val_acc,lr
1,1.8183404846336453,1.6116337884556164,0.3732738095238095,0.00030000000000000003
2,1.5015262002727379,1.5184490138834172,0.40584821428571427,0.00030000000000000003
3,1.3683729112828187,1.3550362875967314,0.46616071428571426,0.00030000000000000003
4,1.2767166198433126,1.3624833406824055,0.47211309523809525,0.00030000000000000003
5,1.210642034563275,1.2125173247221745,0.5167113095238095,0.00030000000000000003
6,1.1645711175389164,1.16808902314215,0.5325446428571429,0.00030000000000000003
7,1.1316208132319576,1.2347879554286147,0.5088541666666667,0.00030000000000000003
8,1.1076816329484658,1.3680495059851445,0.48196428571428573,0.00030000000000000003
9,1.088182496027348,1.1833788553873699,0.5293005952380953,0.00030000000000000003
10,1.0728162035289373,1.0847643902807524,0.5581101190476191,0.00030000000000000003
11,1.0599921051087036,1.1380105777220293,0.5412797619047619,0.00030000000000000003
12,1.0499977297202716,1.088368748173569,0.5588541666666667,0.00030000000000000003
13,1.038401238591952,1.1308853355321018,0.5488839285714285,0.00030000000000000003
14,1.0308657793944327,3.1522230740749473,0.33025297619047617,0.00030000000000000003
15,1.021982098713574,1.0709274772441748,0.5626041666666667,0.00030000000000000003
16,1.0154333579222965,1.0734597552906384,0.5646130952380952,0.00030000000000000003
17,1.0093079111875236,1.0840676553321607,0.5547767857142857,0.00030000000000000003
18,1.0029814193457252,1.0683560253995839,0.5674107142857143,0.00030000000000000003
19,0.9974650189903752,1.07174407713341,0.563125,0.00030000000000000003
20,0.9912240253655176,1.1153082323796821,0.5500297619047619,0.00030000000000000003
21,0.9863098114162343,1.0956948869156116,0.5602380952380952,0.00030000000000000003
22,0.9808523949561464,1.132700654593381,0.5545386904761904,0.00030000000000000003
23,0.9747274450022911,1.0824797334093037,0.5619791666666667,0.00030000000000000003
24,0.9690990357344594,1.111290581298597,0.5577380952380953,0.00030000000000000003
25,0.9646987457239129,1.1492505236105486,0.551860119047619,0.00030000000000000003
26,0.9603238892192623,1.068556008013812,0.5710267857142857,0.00030000000000000003
27,0.9551575070551593,1.389851329904614,0.5053869047619047,0.00030000000000000003
28,0.9499794024931614,1.4303268338694717,0.5108482142857143,0.00030000000000000003
29,0.944947195143754,1.0908024347189702,0.5646279761904762,3.0000000000000004e-05
30,0.9173786297950455,1.0632158626209607,0.5753422619047619,3.0000000000000004e-05
