epoch,train_loss,val_loss,val_acc,lr
1,1.929047860120186,1.8194735844930012,0.29901785714285717,0.00030000000000000003
2,1.565675867827673,1.51998601176522,0.405014880952381,0.00030000000000000003
3,1.376908667640541,3.345029191537337,0.25226190476190474,0.00030000000000000003
4,1.2834213872372877,1.835257376685287,0.3626190476190476,0.00030000000000000003
5,1.2254313928546108,2.8158809885834204,0.2791666666666667,0.00030000000000000003
6,1.1878153402995701,1.6595484560186213,0.41876488095238096,0.00030000000000000003
7,1.1604282207815366,1.298064674391891,0.49424107142857143,0.00030000000000000003
8,1.1370648675998354,1.240165686968601,0.5093005952380952,0.00030000000000000003
9,1.1167894144021966,1.9044304020477063,0.42936011904761906,0.00030000000000000003
10,1.1004479905951612,1.45031450733994,0.47160714285714284,0.00030000000000000003
11,1.0846672366327206,1.2936644752820332,0.506875,0.00030000000000000003
12,1.0700952791442435,7.203811659957424,0.24087797619047618,0.00030000000000000003
13,1.0567764018878285,1.1241507187034145,0.5462202380952381,0.00030000000000000003
14,1.045680991370415,1.1103122703956836,0.5521279761904762,0.00030000000000000003
15,1.0342567773826221,1.4785645586071592,0.4826934523809524,0.00030000000000000003
16,1.0250174904050935,1.4557967890392651,0.4962202380952381,0.00030000000000000003
17,1.0175501078707183,6.79707433238174,0.2692857142857143,0.00030000000000000003
18,1.0099941360633182,4.02844875870329,0.3145982142857143,0.00030000000000000003
19,1.0027806212693566,4.411004713087371,0.3073958333333333,0.00030000000000000003
20,0.99828975395558,1.5666457830053386,0.43751488095238095,0.00030000000000000003
21,0.9913329162525133,1.417844199773037,0.47125,0.00030000000000000003
22,0.9861423350558988,3.307141636357163,0.32427083333333334,0.00030000000000000003
23,0.9797947322914355,1.1482520988493254,0.55375,0.00030000000000000003
24,0.9741499494237138,2.5778017152439463,0.3809821428571429,0.00030000000000000003
25,0.9690384173574557,1.0805611556226558,0.5638690476190477,0.00030000000000000003
26,0.9632163063654882,1.1006238316044663,0.5578869047619047,0.00030000000000000003
27,0.9584587615252448,2.130335200916637,0.4314136904761905,0.00030000000000000003
28,0.9539224428369065,5.741171164946123,0.24735119047619047,0.00030000000000000003
29,0.9471827371492132,1.2885396173506072,0.5283779761904762,0.00030000000000000003
30,0.9423599068656168,1.1361827127861255,0.5594642857142857,0.00030000000000000003
